LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Akwapim South;Berekuso;;Kitase CHPS;;;;;
Akwapim South;Berekuso;;Konkonuru CHPS;;;;;
Akwapim South;Obotwere;;Asheresu CHPS;;;;;
Akwapim South;Obotwere;;Dego CHPS;;;;;
Akwapim South;Obotwere;;Fahiakor CHPS;;;;;
Akwapim South;Obotwere;;Obotwere Health Centre;;;;;
Akwapim South;Pakro;;Abaase CHPS;;;;;
Akwapim South;Pakro;;Ankwensu/Tabankro CHPS;;;;;
Akwapim South;Pakro;;Fante Town CHPS;;;;;
Akwapim South;Pakro;;Obossono CHPS;;;;;
Akwapim South;Pakro;;Pakro Health Centre;;;;;
Akwapim South;Pakro;;Pakro Zongo CHPS;;;;;
Akwapim South;Pokrom;;Attakrom CHPS;;;;;
Akwapim South;Pokrom;;Nkumkrom CHPS;;;;;
Akwapim South;Pokrom;;Nsabaa CHPS;;;;;
Akwapim South;Pokrom;;Nsakye CHPS;;;;;
Akwapim South;Pokrom;;Oboadaka CHPS;;;;;
Akwapim South;Pokrom;;Obodan CHPS;;;;;
Akwapim South;Pokrom;;Pokrom Health Centre;;;;;
Akwapim South;Pokrom;;Yaw Duodu CHPS;;;;;
Afram Plains South;Agyata;;Agyata CHPS;;;;;
Afram Plains South;Agyata;;Gadorkope CHPS;;;;;
Afram Plains South;Agyata;;Takoratwene CHPS;;;;;
Afram Plains South;Asanyansu;;Nsuogyaso CHPS;;;;;
Afram Plains South;Asanyansu;;Asanyanso Health Centre;;;;;
Afram Plains South;Asanyansu;;Dome CHPS;;;;;
Afram Plains South;Asanyansu;;Hwanyanso CHPS;;;;;
Afram Plains South;Dim Sakabo;;Dim Sikabo CHPS;;;;;
Afram Plains South;Ekye;;Bumpata CHPS;;;;;
Afram Plains South;Ekye;;Ekye Central CHPS;;;;;
Afram Plains South;Ekye;;Ekye Health Centre;;;;;
Afram Plains South;Forifori;;Forifori Health Centre;;;;;
Afram Plains South;Forifori;;Fosu CHPS;;;;;
Afram Plains South;Forifori;;Kwame Dwamena CHPS;;;;;
Afram Plains South;Kwasi Fante;;Bonkrom CHPS;;;;;
Afram Plains South;Kwasi Fante;;Kwasi Fante Health Centre;;;;;
Afram Plains South;Mame Krobo;;Abundant Life Health Services;;;;;
Afram Plains South;Mame Krobo;;Dunkro CHPS;;;;;
Afram Plains South;Mame Krobo;;Maame Krobo Health Centre;;;;;
Afram Plains South;Samanhyia;;Koranteng CHPS;;;;;
Afram Plains South;Samanhyia;;Koranteng Krachi CHPS;;;;;
Afram Plains South;Samanhyia;;Kwasi Addae CHPS;;;;;
Afram Plains South;Samanhyia;;Kwesi Kumah CHPS;;;;;
Afram Plains South;Samanhyia;;Mmradan CHPS;;;;;
Afram Plains South;Samanhyia;;Samanhyia CHPS;;;;;
Afram Plains South;Tease;;Tease Health Centre;;;;;
Afram Plains South;Tease;;Tease Island CHPS;;;;;
Afram Plains South;Tease;;Twerefour Faaso CHPS;;;;;
Asuogyaman;Senchi;;Hedwigs Clinic;;;;;
Asuogyaman;Senchi;;New Akrade CHPS;;;;;
Asuogyaman;Senchi;;New Senchi RCH;;;;;
Asuogyaman;Senchi;;Old Akrade CHPS;;;;;
Asuogyaman;Senchi;;Senchi Ferry Asuogyaman;;;;;
Asuogyaman;Senchi;;South Senchi Clinic;;;;;
Asuogyaman;Adjena Gyakiti;;Adjena Health Center;;;;;
Asuogyaman;Adjena Gyakiti;;Gyakiti Clinic;;;;;
Asuogyaman;Adjena Gyakiti;;Kudi Kope CHPS;;;;;
Asuogyaman;Adjena Gyakiti;;Sappor CHPS;;;;;
