## All WHO countries
"defaultName","externalId","isoCode","unoCode","subcontinent","archived"
"Malaysia",8525,"MYS",458,"Southeast Asia","FALSE"
"Maldives",8526,"MDV",462,"Southern Asia","FALSE"
"Mali",8330,"MLI",466,"Western Africa","FALSE"
"Malta",8224,"MLT",470,"Southern Europe","FALSE"
"Marshall Islands",8617,"MHL",584,"Oceania","FALSE"
"Mauritania",8332,"MRT",478,"Northwest Africa","FALSE"
"Mauritius",8333,"MUS",480,"Southeast Africa","FALSE"
"Mexico",8427,"MEX",484,"North America","FALSE"
"Micronesia (Federated States of)",8618,"FSM",583,"Oceania","FALSE"
"Monaco",8226,"MCO",492,"Southern Europe","FALSE"
"Mongolia",8528,"MNG",496,"Central Asia","FALSE"
"Montenegro",8254,"MNE",499,"Southeast Europe","FALSE"
"Morocco",8331,"MAR",504,"Northwest Africa","FALSE"
"Mozambique",8334,"MOZ",508,"Southeast Africa","FALSE"
"Myanmar",8505,"MMR",104,"Southeast Asia","FALSE"
"Namibia",8351,"NAM",516,"Southern Africa","FALSE"
"Nauru",8604,"NRU",520,"Oceania","FALSE"
"Nepal",8529,"NPL",524,"Southern Asia","FALSE"
"Netherlands",8227,"NLD",528,"Western Europe","FALSE"
"New Caledonia",8606,"NCL",540,"Western Europe","FALSE"
"New Zealand",8607,"NZL",554,"Oceania","FALSE"
"Nicaragua",8429,"NIC",558,"Central America","FALSE"
"Niger",8335,"NER",562,"Western Africa","FALSE"
"Nigeria",8336,"NGA",566,"Western Africa","FALSE"
"Niue",8683,"NIU",570,"Oceania","FALSE"
"North Macedonia",8255,"MKD",807,"Southeast Europe","FALSE"
"Norway",8228,"NOR",578,"Northern Europe","FALSE"
"Oman",8527,"OMN",512,"Southwest Asia","FALSE"
"Pakistan",8533,"PAK",586,"Southern Asia","FALSE"
"Palau",8619,"PLW",585,"Oceania","FALSE"
"Panama",8430,"PAN",591,"Central America","FALSE"
"Papua New Guinea",8608,"PNG",598,"Oceania","FALSE"
"Paraguay",8431,"PRY",600,"South America","FALSE"
"Peru",8432,"PER",604,"South America","FALSE"
"Philippines",8534,"PHL",608,"Southeast Asia","FALSE"
"Poland",8230,"POL",616,"Eastern Europe","FALSE"
"Portugal",8231,"PRT",620,"Western Europe","FALSE"
"Puerto Rico",8433,"PRI",630,"North America","FALSE"
"Qatar",8519,"QAT",634,"Southern Asia","FALSE"
"Republic of Korea",8539,"KOR",410,"Eastern Asia","FALSE"
"Republic of Moldova",8263,"MDA",498,"Southeast Europe","FALSE"
"Romania",8232,"ROU",642,"Southeast Europe","FALSE"
"Russian Federation",8264,"RUS",643,"Northeast Europe","FALSE"
"Rwanda",8341,"RWA",646,"Eastern Africa","FALSE"
"Saint Kitts and Nevis",8445,"KNA",659,"Central America","FALSE"
"Saint Lucia",8443,"LCA",662,"Central America","FALSE"
"Saint Vincent and the Grenadines",8444,"VCT",670,"Central America","FALSE"
"Samoa",8612,"WSM",882,"Oceania","FALSE"
"San Marino",8233,"SMR",674,"Southern Europe","FALSE"
"Sao Tome and Principe",8344,"STP",678,"Southwest Africa","FALSE"
"Saudi Arabia",8535,"SAU",682,"Middle East","FALSE"
"Senegal",8345,"SEN",686,"Western Africa","FALSE"
"Serbia",8248,"SRB",688,"Southeast Europe","FALSE"
"Seychelles",8346,"SYC",690,"Eastern Africa","FALSE"
"Sierra Leone",8347,"SLE",694,"Western Africa","FALSE"
"Singapore",8537,"SGP",702,"Southeast Asia","FALSE"
"Slovakia",8243,"SVK",703,"Central Europe","FALSE"
"Slovenia",8251,"SVN",705,"Central Europe","FALSE"
"Solomon Islands",8614,"SLB",90,"Oceania","FALSE"
"Somalia",8348,"SOM",706,"Eastern Africa","FALSE"
"South Africa",8349,"ZAF",710,"Southern Africa","FALSE"
"South Sudan",8363,"SSD",728,"Central Africa","FALSE"
"Spain",8236,"ESP",724,"Southern Europe","FALSE"
"Sri Lanka",8506,"LKA",144,"Southern Asia","FALSE"
"State of Palestine",8550,"PSE",275,"Middle East","FALSE"
"Sudan",8350,"SDN",729,"Northeast Africa","FALSE"
"Suriname",8435,"SUR",740,"South America","FALSE"
"Sweden",8234,"SWE",752,"Northern Europe","FALSE"
"Switzerland",8100,"CHE",756,"Central Europe","FALSE"
"Syrian Arab Republic",8541,"SYR",760,"Middle East","FALSE"
"Tajikistan",8565,"TJK",762,"Central Asia","FALSE"
"Thailand",8542,"THA",764,"Southeast Asia","FALSE"
"Timor-Leste",8547,"TLS",626,"Southeast Asia","FALSE"
"Togo",8354,"TGO",768,"Western Africa","FALSE"
"Tokelau",8684,"TKL",772,"Oceania","FALSE"
"Tonga",8610,"TON",776,"Oceania","FALSE"
"Trinidad and Tobago",8436,"TTO",780,"Central America","FALSE"
"Tunisia",8357,"TUN",788,"Northern Africa","FALSE"
"Turkey",8239,"TUR",792,"Middle East","FALSE"
"Turkmenistan",8566,"TKM",795,"Central Asia","FALSE"
"Tuvalu",8615,"TUV",798,"Oceania","FALSE"
"Uganda",8358,"UGA",800,"Eastern Africa","FALSE"
"Ukraine",8265,"UKR",804,"Eastern Europe","FALSE"
"United Arab Emirates",8532,"ARE",784,"Southwest Asia","FALSE"
"United Kingdom of Great Britain and Northern Ireland",8215,"GBR",826,"Northern Europe","FALSE"
"United Republic of Tanzania",8353,"TZA",834,"Eastern Africa","FALSE"
"United States of America",8439,"USA",840,"North America","FALSE"
"Uruguay",8437,"URY",858,"South America","FALSE"
"Uzbekistan",8567,"UZB",860,"Central Asia","FALSE"
"Vanuatu",8605,"VUT",548,"Oceania","FALSE"
"Vatican City",8241,"VAT",336,"Southern Europe","FALSE"
"Venezuela (Bolivarian Republic of)",8438,"VEN",862,"South America","FALSE"
"Viet Nam",8545,"VNM",704,"Southeast Asia","FALSE"
"Yemen",8516,"YEM",887,"Middle East","FALSE"
"Zambia",8343,"ZMB",894,"Southern Africa","FALSE"
"Zimbabwe",8340,"ZWE",716,"Southern Africa","FALSE"
