AMAPCODE;AMPA State;AMAP LGA;State;LGA;LGA from Facilities
NIE;BAS;JMA;Bauchi;Jama'are;Jama'are
NIE;BAS;KTG;Bauchi;Katagum;Katagum
NIE;BAS;KRF;Bauchi;Kirfi;Kirfi
NIE;BAS;MSA;Bauchi;Misau;Misau
NIE;BAS;NNG;Bauchi;Ningi;Ningi
NIE;BAS;SHR;Bauchi;Shira;Shira
NIE;BAS;TFB;Bauchi;Tafawa-Balewa;Tafawa-Balewa
NIE;BAS;TRR;Bauchi;Toro;Toro
NIE;BAS;WRJ;Bauchi;Warji;Warji
NIE;BAS;ZAK;Bauchi;Zaki;Zaki
NIE;BYS;BRS;Bayelsa;Brass;Brass
NIE;BYS;KMR;Bayelsa;Ekeremor;Ekeremor
NIE;BYS;KMK;Bayelsa;Kolokuma/Opokuma;Kolokuma/Opokuma
NIE;BYS;NEM;Bayelsa;Nembe;Nembe
NIE;BYS;GBB;Bayelsa;Ogbia;Ogbia
NIE;BYS;SAG;Bayelsa;Sagbama;Sagbama
NIE;BYS;SPR;Bayelsa;Southern Ijaw;Southern Ijaw
NIE;BYS;YEN;Bayelsa;Yenegoa;Yenagoa
NIE;BNS;GMU;Benue;Ado;Ado
NIE;BNS;GTU;Benue;Agatu;Agatu
NIE;BNS;GKP;Benue;Apa;Apa
NIE;BNS;BKB;Benue;Bukuru;Buruku
NIE;BNS;GBK;Benue;Gboko;Gboko
NIE;BNS;YGJ;Benue;Guma;Guma
NIE;BNS;ALD;Benue;Gwer East;Gwer East
NIE;BNS;NAK;Benue;Gwer West;Gwer West
NIE;BNS;KAL;Benue;Katsina-Ala;Katsina-Ala
NIE;BNS;TSE;Benue;Konshisha;Konshisha
NIE;BNS;WDP;Benue;Kwande;Kwande
NIE;BNS;GBG;Benue;Logo;Logo
NIE;BNS;MKD;Benue;Markurdi;Makurdi
NIE;BNS;BRT;Benue;Obi;Obi
NIE;BNS;BGT;Benue;Ogbadibo;Ogbadibo
NIE;BNS;DKP;Benue;Ohimini;Ohimini
NIE;BNS;JUX;Benue;Oju;Oju
NIE;BNS;PKG;Benue;Okpokwu;Okpokwu
NIE;BNS;TKP;Benue;Oturkpo;Otukpo
NIE;BNS;WNN;Benue;Tarka;Tarka
NIE;BNS;UKM;Benue;Ukum;Ukum
NIE;BNS;SEL;Benue;Ushongo;Ushongo
NIE;BNS;VDY;Benue;Vandeikya;Vandeikya
NIE;BOS;ADM;Borno;Abadam;Abadam
NIE;BOS;ASU;Borno;Askira/Uba;Askira/Uba
NIE;BOS;BAM;Borno;Bama;Bama
NIE;BOS;BAY;Borno;Bayo;Bayo
NIE;BOS;BBU;Borno;Biu;Biu
