region;district;epidcode;growthrate
Borno;Kwaya Kusar;KWY;3.4
Borno;Mafa;MAF;3.4
Borno;Magumeri;MGM;3.4
Borno;Maiduguri;MAG;3.4
Borno;Marte;MAR;3.4
Borno;Mobbar;MBR;3.4
Borno;Monguno;MNG;3.4
Borno;Ngala;NGL;3.4
Borno;Nganzai;NGZ;3.4
Borno;Shani;SHN;3.4
Cross River;Abi;TGD;2.9
Cross River;Akamkpa;KAM;2.9
Cross River;Akpabuyo;KTA;2.9
Cross River;Bakassi;BKS;2.9
Cross River;Bekwarra;ABE;2.9
Cross River;Biase;AKP;2.9
Cross River;Boki;BJE;2.9
Cross River;Calabar Municipal;CAL;2.9
Cross River;Calabar South;ANA;2.9
Cross River;Etung;EFE;2.9
Cross River;Ikom;KMM;2.9
Cross River;Obanliku;BNS;2.9
Cross River;Obubra;BRA;2.9
Cross River;Obudu;UDU;2.9
Cross River;Odukpani;DUK;2.9
Cross River;Ogoja;GGJ;2.9
Cross River;Yakurr;GEP;2.9
Cross River;Yala;CKK;2.9
Delta;Aniocha North;SLK;3.2
Delta;Aniocha South;GWK;3.2
Delta;Bomadi;BMA;3.2
Delta;Burutu;BUR;3.2
Delta;Ethiope East;SKL;3.2
Delta;Ethiope West;GRA;3.2
Delta;Ika North East;AYB;3.2
Delta;Ika South;AGB;3.2
Delta;Isoko North;DSZ;3.2
Delta;Isoko South;LEH;3.2
Delta;Ndokwa East;ABH;3.2
Delta;Ndokwa West;KWC;3.2
Delta;Okpe;KPE;3.2
Delta;Oshimili North;AKU;3.2
Delta;Oshimili South;ASB;3.2
Delta;Patani;PTN;3.2
Delta;Sapele;SAP;3.2
Delta;Udu;ALA;3.2
Delta;Ughelli North;UGH;3.2
Delta;Ughelli South;JRT;3.2
Delta;Ukwuani;BKW;3.2
Delta;Uvwie;EFR;3.2
Delta;Warri North;KLK;3.2
Delta;Warri South;WWR;3.2
Delta;Warri South West;WRC;3.2
Ebonyi;Abakaliki;AKL;2.8
Ebonyi;Afikpo North;AFK;2.8
Ebonyi;Afikpo South;EDA;2.8
Ebonyi;Ebonyi;UGB;2.8
Ebonyi;Ezza North;EBJ;2.8
Ebonyi;Ezza South;NKE;2.8
Ebonyi;Ikwo;CHR;2.8
Ebonyi;Ishielu;ZLL;2.8
Ebonyi;Ivo;SKA;2.8
Ebonyi;Izzi;BKL;2.8
Ebonyi;Ohaozara;BZR;2.8
Ebonyi;Ohaukwu;HKW;2.8
Ebonyi;Onicha;NCA;2.8
Edo;Akoko-Edo;GAR;2.7
Edo;Egor;USL;2.7
Edo;Esan Central;RRU;2.7
Edo;Esan North-East;URM;2.7
Edo;Esan South-East;UBJ;2.7
Edo;Esan West;EKP;2.7
Edo;Etsako Central;FUG;2.7
Edo;Etsako East;AGD;2.7
Edo;Etsako West;AUC;2.7
Edo;Igueben;GUE;2.7
Edo;Ikpoba-Okha;DGE;2.7
Edo;Oredo;BEN;2.7
Edo;Orhionmwon;ABD;2.7
Edo;Ovia North-East;AKA;2.7
Edo;Ovia South-West;GBZ;2.7
Edo;Owan East;AFZ;2.7
Edo;Owan West;SGD;2.7
Edo;Uhunmwonde;EHR;2.7
Ekiti;Ado Ekiti;ADK;3.1
Ekiti;Aiyekire (Gbonyin);DEA;3.1
Ekiti;Efon;EFY;3.1
Ekiti;Ekiti East;MUE;3.1
Ekiti;Ekiti South West;LAW;3.1
Ekiti;Ekiti West;AMK;3.1
Ekiti;Emure;EMR;3.1
Ekiti;Ido-Osi;DEK;3.1
Ekiti;Ijero;JER;3.1
Ekiti;Ikere;KER;3.1
Ekiti;Ikole;KLE;3.1
Ekiti;Ilejemeje;YEK;3.1
Ekiti;Irepodun/Ifelodun;GED;3.1
Ekiti;Ise/Orun;SSE;3.1
Ekiti;Moba;TUN;3.1
Ekiti;Oye;YEE;3.1
Enugu;Aninri;DBR;3.0
Enugu;Awgu;AWG;3.0
Enugu;Enugu East;NKW;3.0
Enugu;Enugu North;ENU;3.0
Enugu;Enugu South;UWN;3.0
Enugu;Ezeagu;AGW;3.0
Enugu;Igbo-Etiti;GBO;3.0
Enugu;Igbo-Eze North;ENZ;3.0
Enugu;Igbo-Eze South;BBG;3.0
Enugu;Isi-Uzo;KEM;3.0
Enugu;Nkanu East;MGL;3.0
Enugu;Nkanu West;AGN;3.0
Enugu;Nsukka;NSK;3.0
Enugu;Oji River;JRV;3.0
Enugu;Udenu;BLF;3.0
Enugu;Udi;UDD;3.0
Enugu;Uzo-Uwani;UMU;3.0
FCT;Abaji;ABJ;9.3
FCT;Abuja Municipal;KWL;9.3
FCT;Bwari;ABC;9.3
FCT;Gwagwalada;BWR;9.3
FCT;Kuje;GWA;9.3
FCT;Kwali;KUJ;9.3
Gombe;Akko;AKK;3.2
Gombe;Balanga;BLG;3.2
Gombe;Billiri;BLR;3.2
Gombe;Dukku;DKU;3.2
Gombe;Funakaye;FKY;3.2
Gombe;Gombe;GME;3.2
Gombe;Kaltungo;KLT;3.2
Gombe;Kwami;KWM;3.2
Gombe;Nafada;NFD;3.2
Gombe;Shongom;SHM;3.2
Gombe;Yamaltu/Deba;YDB;3.2
Imo;Aboh-Mbaise;ABB;3.2
Imo;Ahiazu-Mbaise;AFR;3.2
Imo;Ehime-Mbano;EHM;3.2
Imo;Ezinihitte-Mbaise;ETU;3.2
Imo;Ideato North;URU;3.2
Imo;Ideato South;DFB;3.2
Imo;Ihitte/Uboma;IHI;3.2
Imo;Ikeduru;KED;3.2
Imo;Isiala Mbano;UML;3.2
Imo;Isu;UMD;3.2
Imo;Mbatoli;NWA;3.2
Imo;Ngor-Okpala;NGN;3.2
Imo;Njaba;NSA;3.2
Imo;Nkwerre;NKR;3.2
Imo;Nwangele;AMG;3.2
Imo;Obowo;TTK;3.2
Imo;Oguta;GUA;3.2
Imo;Ohaji/Egbema;EBM;3.2
Imo;Okigwe;KGE;3.2
Imo;Onuimo;KWE;3.2
Imo;Orlu;RLU;3.2
Imo;Orsu;AWD;3.2
Imo;Oru East;MGD;3.2
Imo;Oru West;NGB;3.2
Imo;Owerri Municipal;WER;3.2
Imo;Owerri North;RRT;3.2
Imo;Owerri West;UMG;3.2
Jigawa;Auyo;AUY;2.9
Jigawa;Babura;BBR;2.9
Jigawa;Birniwa;BNW;2.9
Jigawa;Birnin Kudu;BKD;2.9
Jigawa;Buji;BUJ;2.9
Jigawa;Dutse;DUT;2.9
Jigawa;Gagarawa;GGW;2.9
Jigawa;Garki;GRK;2.9
Jigawa;Gumel;GML;2.9
Jigawa;Guri;GRR;2.9
Jigawa;Gwaram;GRM;2.9
Jigawa;Gwiwa;GWW;2.9
Jigawa;Hadejia;HJA;2.9
Jigawa;Jahun;JHN;2.9
Jigawa;Kafin Hausa;KHS;2.9
Jigawa;Kaugama;KGM;2.9
Jigawa;Kazaure;KZR;2.9
Jigawa;Kiri Kasamma;KKM;2.9
Jigawa;Kiyawa;KYW;2.9
Jigawa;Maigatari;MGR;2.9
Jigawa;Malam Madori;MMR;2.9
Jigawa;Miga;MGA;2.9
Jigawa;Ringim;RNG;2.9
Jigawa;Roni;RRN;2.9
Jigawa;Sule-Tankarkar;STK;2.9
Jigawa;Taura;TAR;2.9
Jigawa;Yankwashi;YKS;2.9
Kaduna;Birnin Gwari;BNG;3.0
Kaduna;Chikun;KJM;3.0
Kaduna;Giwa;GKW;3.0
Kaduna;Igabi;TRK;3.0
Kaduna;Ikara;KAR;3.0
Kaduna;Jaba;KWB;3.0
Kaduna;Jema'a;KAF;3.0
Kaduna;Kachia;KCH;3.0
Kaduna;Kaduna North;DKA;3.0
Kaduna;Kaduna South;MKA;3.0
Kaduna;Kagarko;KGK;3.0
