region;district;epidcode;growthrate
Sokoto;Silame;SLM;3.0
Sokoto;Sokoto North;SKK;3.0
Sokoto;Sokoto South;SRZ;3.0
Sokoto;Tambuwal;TBW;3.0
Sokoto;Tangaza;TGZ;3.0
Sokoto;Tureta;TRT;3.0
Sokoto;Wamako;WMK;3.0
Sokoto;Wurno;WRN;3.0
Sokoto;Yabo;YYB;3.0
Taraba;Ardo-Kola;ARD;2.9
Taraba;Bali;BAL;2.9
Taraba;Donga;DGA;2.9
Taraba;Gashaka;GKA;2.9
Taraba;Gassol;GAS;2.9
Taraba;Ibi;BBB;2.9
Taraba;Jalingo;JAL;2.9
Taraba;Karim-Lamido;KLD;2.9
Taraba;Kurmi;KRM;2.9
Taraba;Lau;LAU;2.9
Taraba;Sardauna;SDA;2.9
Taraba;Takum;TTM;2.9
Taraba;Ussa;USS;2.9
Taraba;Wukari;WKR;2.9
Taraba;Yorro;YRR;2.9
Taraba;Zing;TZG;2.9
Yobe;Bade;GSH;3.5
Yobe;Bursari;DPH;3.5
Yobe;Damaturu;DTR;3.5
Yobe;Fika;FKA;3.5
Yobe;Fune;FUN;3.5
Yobe;Geidam;GDM;3.5
Yobe;Gujba;GJB;3.5
Yobe;Gulani;GLN;3.5
Yobe;Jakusko;JAK;3.5
Yobe;Karasuwa;KRS;3.5
Yobe;Machina;MCN;3.5
Yobe;Nangere;NNR;3.5
Yobe;Nguru;NGU;3.5
Yobe;Potiskum;PKM;3.5
Yobe;Tarmuwa;TMW;3.5
Yobe;Yunusari;YUN;3.5
Yobe;Yusufari;YSF;3.5
Zamfara;Anka;ANK;3.2
Zamfara;Bakura;BKA;3.2
Zamfara;Birnin Magaji;BMJ;3.2
Zamfara;Bukkuyum;BKM;3.2
Zamfara;Bungudu;BUG;3.2
Zamfara;Gummi;GMM;3.2
Zamfara;Gusau;GUS;3.2
Zamfara;Kaura Namoda;KRN;3.2
Zamfara;Maradun;MRD;3.2
Zamfara;Maru;MRR;3.2
Zamfara;Shinkafi;SKF;3.2
Zamfara;Talata Mafara;TMA;3.2
Zamfara;Tsafe;TSF;3.2
Zamfara;Zurmi;ZRM;3.2
