region;district;community
Vakinankaratra;Betafo;Ambatonikolahy
Vakinankaratra;Betafo;Antohobe
Vakinankaratra;Betafo;Mahaiza
Vakinankaratra;Betafo;Anosiarivo Manapa
Vakinankaratra;Betafo;Alakamisy Marososona
Vakinankaratra;Betafo;Ambohimanambola
Vakinankaratra;Betafo;Ambohimasina
Vakinankaratra;Betafo;Inanantonana
Vakinankaratra;Betafo;Alarobia Bemaha
Vakinankaratra;Betafo;Andrembesoa
Vakinankaratra;Ambatolampy;Ambatolampy
Vakinankaratra;Ambatolampy;Morarano
Vakinankaratra;Ambatolampy;Ambohipihaonana
Vakinankaratra;Ambatolampy;Manjakatompo
Vakinankaratra;Ambatolampy;Ambatondrakalavao
Vakinankaratra;Ambatolampy;Andriambilany
Vakinankaratra;Ambatolampy;Belambo Firaisana
Vakinankaratra;Ambatolampy;Andravola Vohipeno
Vakinankaratra;Ambatolampy;Tsiafajavona Ankaratra
Vakinankaratra;Ambatolampy;Ambodifarihy Fenomanana
Vakinankaratra;Ambatolampy;Sabotsy Namatoana
Vakinankaratra;Ambatolampy;Antanimasaka
Vakinankaratra;Ambatolampy;Behenjy
Vakinankaratra;Ambatolampy;Antsampandrano
Vakinankaratra;Ambatolampy;Antanamalaza
Vakinankaratra;Ambatolampy;Antakasina
Vakinankaratra;Ambatolampy;Tsinjoarivo
Vakinankaratra;Ambatolampy;Andranovelona
Bongolava;Tsiroanomandidy;Tsiroanomandidy Fihaonana
Bongolava;Tsiroanomandidy;Ambatolampy
Bongolava;Tsiroanomandidy;Maritampona
Bongolava;Tsiroanomandidy;Bevato
Bongolava;Tsiroanomandidy;Ankadinondry Sakay
Bongolava;Tsiroanomandidy;Ankerana Avaratra
Bongolava;Tsiroanomandidy;Miandrarivo
Bongolava;Tsiroanomandidy;Tsinjoarivo Imanga
Bongolava;Tsiroanomandidy;Soanierana
Bongolava;Tsiroanomandidy;Anosy
Bongolava;Tsiroanomandidy;Ambararatabe
Bongolava;Tsiroanomandidy;Belobaka
Bongolava;Tsiroanomandidy;Ambalanirana
Bongolava;Tsiroanomandidy;Mahasolo
Bongolava;Tsiroanomandidy;Bemahatazana
Bongolava;Tsiroanomandidy;Fierenana
Bongolava;Tsiroanomandidy;Maroharona
Itasy;Miarinarivo;Miarinarivo I
Itasy;Miarinarivo;Miarinarivo II
Itasy;Miarinarivo;Ambatomanjaka
Itasy;Miarinarivo;Manazary
Itasy;Miarinarivo;Antoby Est
Itasy;Miarinarivo;Soamahamanina
Itasy;Miarinarivo;Analavory
Itasy;Miarinarivo;Alatsinainikely
Itasy;Miarinarivo;Mandiavato
Itasy;Miarinarivo;Anosibe Ifanja
Itasy;Miarinarivo;Sarobaratra Ifanja
Itasy;Miarinarivo;Zoma Bealoka
Itasy;Miarinarivo;Soavimbazaha
Itasy;Miarinarivo;Andolofotsy
Itasy;Soavinandriana;Soavinandriana
Itasy;Soavinandriana;Dondona
Itasy;Soavinandriana;Ampary
Itasy;Soavinandriana;Mananasy
Itasy;Soavinandriana;Masindray
Itasy;Soavinandriana;Amparibohitra
Itasy;Soavinandriana;Ampefy
Itasy;Soavinandriana;Antanetibe
Itasy;Soavinandriana;Amparaky
Itasy;Soavinandriana;Amberomanga
Itasy;Soavinandriana;Ankaranana
Itasy;Soavinandriana;Mahavelona
Itasy;Soavinandriana;Ankisabe
Itasy;Soavinandriana;Ambatoasana Centre
Itasy;Soavinandriana;Tamponala
Vakinankaratra;Antanifotsy;Antanifotsy
Vakinankaratra;Antanifotsy;Ambatolahy
Vakinankaratra;Antanifotsy;Ampitatafika
Vakinankaratra;Antanifotsy;Ambatomiady
Vakinankaratra;Antanifotsy;Andranofito
Vakinankaratra;Antanifotsy;Ambohimandroso
Vakinankaratra;Antanifotsy;Ambatotsipihina
Vakinankaratra;Antanifotsy;Ambohitompoina
Vakinankaratra;Antanifotsy;Belanitra
Vakinankaratra;Antanifotsy;Antsahalava
Vakinankaratra;Antanifotsy;Ambodiriana
Vakinankaratra;Antanifotsy;Antsampandrano
Analamanga;Andramasina;Andramasina
Analamanga;Andramasina;Sabotsy Ambohitromby
Analamanga;Andramasina;Andohariana
Analamanga;Andramasina;Mandrosoa
Analamanga;Andramasina;Alatsinainy Bakaro
Analamanga;Andramasina;Antotohazo
Analamanga;Andramasina;Ambohimiadana
Analamanga;Andramasina;Tankafatra
Analamanga;Andramasina;Alarobia Vatosola
Analamanga;Andramasina;Fitsinjovana Bakaro
